titles,links,descriptions,Dates,authors
Packagist Repository Hacked: Over a Dozen PHP Packages with 500 Million Installs Compromised,https://thehackernews.com/2023/05/packagist-repository-hacked-over-dozen.html," PHP software package repository Packagist revealed that an ""attacker"" gained access to four inactive accounts on the platform to hijack over a dozen packages with over 500 million installs to date. ""The attacker forked each of the packages and replaced the package description in  composer.json  with their own message but did not otherwise make any malicious changes,"" Packagist's Nils Adermann  said . ""The package URLs were then changed to point to the forked repositories."" The four user accounts are said to have had access to a total of 14 packages, including multiple Doctrine packages. The incident took place on May 1, 2023. The complete list of impacted packages is as follows - acmephp/acmephp acmephp/core acmephp/ssl doctrine/doctrine-cache-bundle doctrine/doctrine-module doctrine/doctrine-mongo-odm-module doctrine/doctrine-orm-module doctrine/instantiator growthbook/growthbook jdorn/file-system-cache jdorn/sql-formatter khanamiryan/","May 05, 2023",Mobile Security / Android
"Fleckpe Android Malware Sneaks onto Google Play Store with Over 620,000 Downloads",https://thehackernews.com/2023/05/fleckpe-android-malware-sneaks-onto.html," A new Android subscription malware named  Fleckpe  has been unearthed on the Google Play Store, amassing more than 620,000 downloads in total since 2022. Kaspersky, which identified 11 apps on the official app storefront, said the malware masqueraded as legitimate photo editing apps, camera, and smartphone wallpaper packs. The apps have since been taken down. The operation primarily targets users from Thailand, although telemetry data gathered by the Russian cybersecurity firm has revealed victims in Poland, Malaysia, Indonesia, and Singapore. The apps further offer the promised functionality to avoid raising red flags, but conceal their real purpose under the hood. The list of the offending apps is as follows - Beauty Camera Plus (com.beauty.camera.plus.photoeditor) Beauty Photo Camera (com.apps.camera.photos) Beauty Slimming Photo Editor (com.beauty.slimming.pro) Fingertip Graffiti (com.draw.graffiti) GIF Camera Editor (com.gif.camera.editor) HD 4K Wallpaper (com.hd.h4ks.","May 05, 2023",Vulnerability / Network Security
"Cisco Warns of Vulnerability in Popular Phone Adapter, Urges Migration to Newer Model",https://thehackernews.com/2023/05/cisco-warns-of-vulnerability-in-popular.html," Cisco has warned of a critical security flaw in SPA112 2-Port Phone Adapters that it said could be exploited by a remote attacker to execute arbitrary code on affected devices. The issue, tracked as  CVE-2023-20126 , is rated 9.8 out of a maximum of 10 on the CVSS scoring system. The company credited Catalpa of DBappSecurity for reporting the shortcoming. The  product in question  makes it possible to connect analog phones and fax machines to a VoIP service provider without requiring an upgrade. ""This vulnerability is due to a missing authentication process within the firmware upgrade function,"" the company  said  in a bulletin. ""An attacker could exploit this vulnerability by upgrading an affected device to a crafted version of firmware. A successful exploit could allow the attacker to execute arbitrary code on the affected device with full privileges."" Despite the severity of the flaw, the networking equipment maker said it does not intend to release fixes ","May 04, 2023",API Management / Vulnerability
Researchers Discover 3 Vulnerabilities in Microsoft Azure API Management Service,https://thehackernews.com/2023/05/researchers-discover-3-vulnerabilities.html," Three new security flaws have been disclosed in Microsoft Azure API Management service that could be abused by malicious actors to gain access to sensitive information or backend services. This includes two server-side request forgery (SSRF) flaws and one instance of unrestricted file upload functionality in the API Management developer portal, according to Israeli cloud security firm Ermetic. ""By abusing the SSRF vulnerabilities, attackers could send requests from the service's CORS Proxy and the hosting proxy itself, access internal Azure assets, deny service and bypass web application firewalls,"" security researcher Liv Matan said in a report shared with The Hacker News. ""With the file upload path traversal, attackers could upload malicious files to Azure's hosted internal workload."" Azure API Management is a  multicloud management platform  that allows organizations to securely expose their APIs to external and internal customers and enable a wide ","May 04, 2023",Server Security / Vulnerability
Researchers Uncover New Exploit for PaperCut Vulnerability That Can Bypass Detection,https://thehackernews.com/2023/05/researchers-uncover-new-exploit-for.html," Cybersecurity researchers have found a way to exploit a recently disclosed critical flaw in PaperCut servers in a manner that bypasses all current detections. Tracked as  CVE-2023-27350  (CVSS score: 9.8), the issue affects PaperCut MF and NG installations that could be exploited by an unauthenticated attacker to execute arbitrary code with SYSTEM privileges. While the flaw was  patched  by the Australian company on March 8, 2023, the first signs of active exploitation emerged on April 13, 2023. Since then, the vulnerability has been  weaponized  by multiple threat groups, including  ransomware actors , with post-exploitation activity resulting in the execution of PowerShell commands designed to drop additional payloads. Now, VulnCheck has  published  a proof-of-concept (PoC) exploit that sidesteps existing detection signatures by leveraging the fact that ""PaperCut NG and MF offer multiple paths to code execution."" It's worth noting that public exploits for the fla","May 04, 2023",Cyber Threat / Dark Web
Why the Things You Don't Know about the Dark Web May Be Your Biggest Cybersecurity Threat,https://thehackernews.com/2023/05/why-things-you-dont-know-about-dark-web.html," IT and cybersecurity teams are so inundated with security notifications and alerts within their own systems, it's difficult to monitor external malicious environments – which only makes them that much more threatening.  In March, a high-profile data breach hit national headlines when personally identifiable information connected to hundreds of lawmakers and staff was leaked on the dark web. The cybersecurity incident involved the DC Health Link, an online marketplace that administers health plans for members of Congress and Capitol Hill staff. According to news reports, the FBI had successfully purchased a portion of the data – which included social security numbers and other sensitive information – on the dark web.  Because of the prominence of the victims, the story was picked up by a slew of media outlets that rarely cover dark web-related cybersecurity crimes. The story not only shed light on one of the most dangerous aspects of the internet, it reminded us that the dark web con",[],[]
Meta Uncovers Massive Social Media Cyber Espionage Operations Across South Asia,https://thehackernews.com/2023/05/meta-uncovers-massive-social-media.html," Three different threat actors leveraged hundreds of elaborate fictitious personas on Facebook and Instagram to target individuals located in South Asia as part of disparate attacks. ""Each of these APTs relied heavily on social engineering to trick people into clicking on malicious links, downloading malware or sharing personal information across the internet,"" Guy Rosen, chief information security officer at Meta,  said . ""This investment in social engineering meant that these threat actors did not have to invest as much on the malware side."" The fake accounts, in addition to using traditional lures like women looking for a romantic connection, masqueraded as recruiters, journalists, or military personnel. At least two of the  cyber espionage efforts  entailed the use of low-sophistication malware with reduced capabilities, likely in an attempt to get past  app verification checks  established by Apple and Google.  One of the groups that came under Meta's r","May 04, 2023",Social Media / Cyber Risk
Meta Takes Down Malware Campaign That Used ChatGPT as a Lure to Steal Accounts,https://thehackernews.com/2023/05/meta-takes-down-malware-campaign-that.html," Meta said it took steps to take down more than 1,000 malicious URLs from being shared across its services that were found to leverage OpenAI's ChatGPT as a lure to propagate about 10 malware families since March 2023. The development comes  against  the backdrop of  fake ChatGPT   web browser extensions  being increasingly used to steal users' Facebook account credentials with an aim to run unauthorized ads from hijacked business accounts. ""Threat actors create malicious browser extensions available in official web stores that claim to offer ChatGPT-based tools,"" Meta  said . ""They would then promote these malicious extensions on social media and through sponsored search results to trick people into downloading malware."" The social media giant said it has blocked several iterations of a multi-pronged malware campaign dubbed  Ducktail  over the years, adding it issued a cease and desist letter to individuals behind the operation who are located in Vietna","May 04, 2023",Online Security / ChatGPT
eBook: 3 Steps to Implement Zero Trust Access,https://thn.news/cyolo-newsfeed,"Streamline your zero-trust access journey with three simple steps for high-risk, remote, and hybrid users.","May 03, 2023",Zero Trust Security
Google Introduces Passwordless Secure Sign-In with Passkeys for Google Accounts,https://thehackernews.com/2023/05/google-introduces-passwordless-secure.html," Almost five months after Google  added support  for passkeys to its Chrome browser, the tech giant has begun rolling out the  passwordless solution  across Google Accounts on all platforms. Passkeys , backed by the FIDO Alliance, are a more secure way to sign in to apps and websites without having to use a traditional password. This, in turn, can be achieved by simply unlocking their computer or mobile device with their biometrics (e.g., fingerprint or facial recognition) or a local PIN. ""And, unlike passwords, passkeys are resistant to online attacks like phishing, making them more secure than things like SMS one-time codes,"" Google  noted . Passkeys, once created, are locally stored on the device, and are not shared with any other party. This also obviates the need for setting up two-factor authentication, as it proves that ""you have access to your device and are able to unlock it."" Users also have the choice of creating passkeys for every device they use to","May 03, 2023",Password Security / Authentication
Chinese Hacker Group Earth Longzhi Resurfaces with Advanced Malware Tactics,https://thehackernews.com/2023/05/chinese-hacker-group-earth-longzhi.html," A Chinese state-sponsored hacking outfit has resurfaced with a new campaign targeting government, healthcare, technology, and manufacturing entities based in Taiwan, Thailand, the Philippines, and Fiji after more than six months of no activity. Trend Micro  attributed  the intrusion set to a cyber espionage group it tracks under the name  Earth Longzhi , which is a subgroup within  APT41  (aka HOODOO or Winnti) and shares overlaps with various other clusters known as Earth Baku, SparklingGoblin, and GroupCC. Earth Longzhi was  first documented  by the cybersecurity firm in November 2022, detailing its attacks against various organizations located in East and Southeast Asia as well as Ukraine. Attack chains mounted by the threat actor leverage vulnerable public-facing applications as entry points to deploy the  BEHINDER web shell , and then leverage that access to drop additional payloads, including a new variant of a Cobalt Strike loader called CroxLoader. ""This recent campa","May 03, 2023",Cyber Espionage / Malware
"Operation SpecTor: $53.4 Million Seized, 288 Vendors Arrested in Dark Web Drug Bust",https://thehackernews.com/2023/05/operation-spector-534-million-seized.html," An international law enforcement operation has resulted in the arrest of 288 vendors who are believed to be involved in drug trafficking on the dark web, adding to a long list of  criminal enterprises  that have been shuttered in recent years. The effort, codenamed Operation SpecTor , also saw the authorities confiscating more than $53.4 million in cash and virtual currencies, 850 kg of drugs, and 117 firearms. The largest number of arrests were made in the U.S. (153), followed by the U.K. (55), Germany (52), the Netherlands (10), Austria (9), France (5), Switzerland (2), Poland (1), and Brazil (1). ""This represents the most funds seized and the highest number of arrests in any coordinated international action,"" U.S. Attorney General Merrick B. Garland  said . ""The drug traffickers are confident that, by operating anonymously on the dark web, they can operate outside the bounds of the law. They are wrong."" The arrests stem from evidence gathered after the  tak","May 03, 2023",Dark Web / Cyber Crime
Download the eBook: What Does it Take to be a Full-Fledged Virtual CISO?,https://thehackernews.com/2023/05/download-ebook-what-does-it-take-to-be.html," Almost half of MSP clients fell victim to a cyberattack within the last 12 months. In the SMB world, the danger is especially acute as only 50% of SMBs have a dedicated internal IT person to take care of cybersecurity. No wonder cybercriminals are targeting SMBs so heavily. No wonder SMBs are increasingly willing to pay a subscription or retainer to gain access to expert C-level cyber-assistance in devising and implementing strategies to prevent breaches, reduce risk, and mitigate the consequences of attacks. Hence the popularity of Virtual Chief Information Security Officer (vCISO) services. They are especially attractive to MSPs and MSSPs as:  They enable service providers to address a growing need from their SMB clients for proactive cyber resilience  They offer the potential to grow recurring revenues - expand into a new customer base or sell a new service to existing customers They help service providers differentiate themselves They are an excellent vehicle from which to u","May 03, 2023",CISO / Cybersecurity
Apple and Google Join Forces to Stop Unauthorized Location-Tracking Devices,https://thehackernews.com/2023/05/apple-and-google-join-forces-to-stop.html," Apple and Google have  teamed up  to work on a  draft industry-wide specification  that's designed to tackle safety risks and alert users when they are being tracked without their knowledge or permission using devices like AirTags. ""The first-of-its-kind specification will allow Bluetooth location-tracking devices to be compatible with unauthorized tracking detection and alerts across Android and iOS platforms,"" the companies said in a joint statement. While these trackers are primarily designed to keep tabs on personal belongings like keys, wallets, luggage, and other items, such devices have also been abused by bad actors for  criminal or nefarious purposes , including instances of  stalking, harassment, and theft . The goal is to standardize the alerting mechanisms and minimize opportunities for misuse across Bluetooth location-tracking devices from different vendors. To that end, Samsung, Tile, Chipolo, eufy Security, and Pebblebee have all come on board. In doi","May 03, 2023",Privacy / Technology
Hackers Exploiting 5-year-old Unpatched Vulnerability in TBK DVR Devices,https://thehackernews.com/2023/05/hackers-exploiting-5-year-old-unpatched.html," Threat actors are actively exploiting an unpatched five-year-old flaw impacting TBK digital video recording (DVR) devices, according to an advisory issued by Fortinet FortiGuard Labs. The vulnerability in question is  CVE-2018-9995  (CVSS score: 9.8), a critical authentication bypass issue that could be exploited by remote actors to gain elevated permissions. ""The 5-year-old vulnerability (CVE-2018-9995) is due to an error when handling a maliciously crafted HTTP cookie,"" Fortinet  said  in an outbreak alert on May 1, 2023. ""A remote attacker may be able to exploit this flaw to bypass authentication and obtain administrative privileges eventually leading access to camera video feeds."" The network security company said it observed over 50,000 attempts to exploit TBK DVR devices using the flaw in the month of April 2023. Despite the availability of a proof-of-concept ( PoC ) exploit, there are no fixes that address the vulnerability. The flaw impacts TBK DVR4104","May 03, 2023",Surveillance / Vulnerability
CISA Issues Advisory on Critical RCE Affecting ME RTU Remote Terminal Units,https://thehackernews.com/2023/05/cisa-issues-advisory-on-critical-rce.html," The U.S. Cybersecurity and Infrastructure Security Agency (CISA) on Tuesday  released  an Industrial Control Systems (ICS) advisory about a critical flaw affecting ME RTU remote terminal units. The security vulnerability, tracked as  CVE-2023-2131 , has received the highest severity rating of 10.0 on the CVSS scoring system for its low attack complexity. ""Successful exploitation of this vulnerability could allow remote code execution,"" CISA  said , describing it as a case of command injection affecting versions of INEA ME RTU firmware prior to  version 3.36 . Security researcher Floris Hendriks of Radboud University has been credited with reporting the issue to CISA. Also published by CISA is an  alert  related to multiple known security holes in Intel(R) processors impacting Factory Automation (FA) products from Mitsubishi Electric that could result in privilege escalation and a denial-of-service (DoS) condition. The development comes as the agency  recommended  criti",[],ICS/SCADA Security
Researchers Uncover New BGP Flaws in Popular Internet Routing Protocol Software,https://thehackernews.com/2023/05/researchers-uncover-new-bgp-flaws-in.html," Cybersecurity researchers have uncovered weaknesses in a software implementation of the Border Gateway Protocol (BGP) that could be weaponized to achieve a denial-of-service (DoS) condition on vulnerable BGP peers. The three vulnerabilities reside in version 8.4 of  FRRouting , a popular open source internet routing protocol suite for Linux and Unix platforms. It's currently used by several vendors like  NVIDIA Cumulus ,  DENT , and  SONiC , posing supply chain risks. The discovery is the result of an analysis of seven different implementations of BGP carried out by Forescout Vedere Labs: FRRouting, BIRD, OpenBGPd, Mikrotik RouterOS, Juniper JunOS, Cisco IOS, and Arista EOS. BGP is a  gateway protocol  that's designed to exchange routing and reachability information between autonomous systems. It's used to find the most efficient routes for delivering internet traffic. The list of three flaws is as follows - CVE-2022-40302  (CVSS score: 6.5) - Out-of-bounds read whe","May 02, 2023",Network Security / Vulnerability
BouldSpy Android Spyware: Iranian Government's Alleged Tool for Spying on Minority Groups,https://thehackernews.com/2023/05/bouldspy-android-spyware-iranian.html," A new Android surveillanceware possibly used by the Iranian government has been used to spy on over 300 individuals belonging to minority groups. The malware, dubbed  BouldSpy , has been attributed with moderate confidence to the Law Enforcement Command of the Islamic Republic of Iran ( FARAJA ). Targeted victims include Iranian Kurds, Baluchis, Azeris, and Armenian Christian groups. ""The spyware may also have been used in efforts to counter and monitor illegal trafficking activity related to arms, drugs, and alcohol,"" Lookout  said , based on exfiltrated data that contained photos of drugs, firearms, and official documents issued by FARAJA.  BouldSpy, like other Android malware families, abuses its access to Android's accessibility services and other intrusive permissions to harvest sensitive data such as web browser history, photos, contact lists, SMS logs, keystrokes, screenshots, clipboard content, microphone audio, and video call recordings. It's worth poin","May 02, 2023",Mobile Security / Spyware
eBook: 3 Steps to Implement Zero Trust Access,https://thn.news/cyolo-newsfeed,"Streamline your zero-trust access journey with three simple steps for high-risk, remote, and hybrid users.","May 02, 2023",Zero Trust Security
Why Telecoms Struggle with SaaS Security,https://thehackernews.com/2023/05/why-telecoms-struggle-with-saas-security.html," The telecom industry has always been a tantalizing target for cybercriminals. The combination of interconnected networks, customer data, and sensitive information allows cybercriminals to inflict maximum damage through minimal effort. It's the breaches in telecom companies that tend to have a seismic impact and far-reaching implications — in addition to reputational damage, which can be difficult to measure, telecoms are often at the receiving end of government fines for their cybersecurity and privacy failures. There are few industries in the world that collect as much sensitive data as telecom companies. In recent years, telecom companies have accelerated their digital transformation, shedding legacy systems and reducing costs. These changes, coupled with the need for stronger collaboration with third-party vendors, have led them to SaaS applications to handle their CRM. Today, telecoms are using SaaS apps for billing, HR, call management, field operations management, tracking ca","May 02, 2023",SaaS Security
"LOBSHOT: A Stealthy, Financial Trojan and Info Stealer Delivered through Google Ads",https://thehackernews.com/2023/05/lobshot-stealthy-financial-trojan-and.html," In yet another instance of how threat actors are abusing Google Ads to serve malware, a threat actor has been observed leveraging the technique to deliver a new Windows-based financial trojan and information stealer called LOBSHOT . ""LOBSHOT continues to collect victims while staying under the radar,"" Elastic Security Labs researcher Daniel Stepanic said in an analysis published last week. ""One of LOBSHOT's core capabilities is around its hVNC (Hidden Virtual Network Computing) component. These kinds of modules allow for direct and unobserved access to the machine."" The American-Dutch company attributed the malware strain to a threat actor known as  TA505  based on infrastructure historically connected to the group. TA505 is a financially motivated e-crime syndicate that overlaps with  activity clusters  tracked under the names Evil Corp, FIN11, and Indrik Spider. The latest development is significant because it's a sign that TA505, which is associate","May 02, 2023",Malvertising / Cyber Threat
North Korea's ScarCruft Deploys RokRAT Malware via LNK File Infection Chains,https://thehackernews.com/2023/05/north-koreas-scarcruft-deploys-rokrat.html," The North Korean threat actor known as  ScarCruft  started experimenting with oversized LNK files as a delivery route for RokRAT malware as early as July 2022, the same month Microsoft  began blocking macros  across Office documents by default. ""RokRAT has not changed significantly over the years, but its deployment methods have evolved, now utilizing archives containing LNK files that initiate multi-stage infection chains,"" Check Point  said  in a new technical report. ""This is another representation of a major trend in the threat landscape, where APTs and cybercriminals alike attempt to overcome the blocking of macros from untrusted sources."" ScarCruft , also known by the names APT37, InkySquid, Nickel Foxcroft, Reaper, RedEyes, and Ricochet Chollima, is a threat group that almost exclusively targets South Korean individuals and entities as part of spear-phishing attacks designed to deliver an array of custom tools. The adversarial collective, unlike the  La","May 02, 2023",Threat Intelligence
